Gene Name,GO IDs,Biological Functions
A1BG,GO:0060396,growth hormone receptor signaling pathway
A1CF,"GO:0016554, GO:0016554, GO:0016556, GO:0050821, GO:0141166, GO:1902373, GO:2000623","cytidine to uridine editing, cytidine to uridine editing, mRNA modification, protein stabilization, chromosomal 5-methylcytosine DNA demethylation pathway, negative regulation of mRNA catabolic process, negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
A2M,GO:0001869,"negative regulation of complement activation, lectin pathway"
A2ML1,GO:0052548,regulation of endopeptidase activity
A3GALT2,"GO:0005975, GO:0006688","carbohydrate metabolic process, glycosphingolipid biosynthetic process"
A4GALT,"GO:0006688, GO:0006688, GO:0006688, GO:0007009","glycosphingolipid biosynthetic process, glycosphingolipid biosynthetic process, glycosphingolipid biosynthetic process, plasma membrane organization"
A4GNT,"GO:0005975, GO:0006493, GO:0006493, GO:0009101, GO:0016266","carbohydrate metabolic process, protein O-linked glycosylation, protein O-linked glycosylation, glycoprotein biosynthetic process, protein O-linked glycosylation via N-acetylgalactosamine"
AAAS,"GO:0001578, GO:0001578, GO:0006913, GO:0006913, GO:0046822, GO:0090307, GO:0090307","microtubule bundle formation, microtubule bundle formation, nucleocytoplasmic transport, nucleocytoplasmic transport, regulation of nucleocytoplasmic transport, mitotic spindle assembly, mitotic spindle assembly"
AACS,"GO:0006629, GO:0032024, GO:0046951","lipid metabolic process, positive regulation of insulin secretion, ketone body biosynthetic process"
AADAC,"GO:0006805, GO:0006805, GO:0016125, GO:0046340, GO:0046340, GO:0046340, GO:0098754","xenobiotic metabolic process, xenobiotic metabolic process, sterol metabolic process, diacylglycerol catabolic process, diacylglycerol catabolic process, diacylglycerol catabolic process, detoxification"
AADACL2,None Found,None Found
AADACL3,None Found,None Found
AADACL4,None Found,None Found
AADAT,"GO:0009063, GO:0019477","amino acid catabolic process, L-lysine catabolic process"
AAGAB,None Found,None Found
AAK1,"GO:0006468, GO:0032880, GO:0045747, GO:0050821, GO:0061024, GO:2000369, GO:2000369, GO:2000369","protein phosphorylation, regulation of protein localization, positive regulation of Notch signaling pathway, protein stabilization, membrane organization, regulation of clathrin-dependent endocytosis, regulation of clathrin-dependent endocytosis, regulation of clathrin-dependent endocytosis"
AAMDC,GO:0045600,positive regulation of fat cell differentiation
AAMP,"GO:0001525, GO:0010595, GO:0014909, GO:0014909","angiogenesis, positive regulation of endothelial cell migration, smooth muscle cell migration, smooth muscle cell migration"
AANAT,"GO:0006474, GO:0007623, GO:0007623, GO:0007623, GO:0009416, GO:0009648, GO:0009648, GO:0010043, GO:0030187, GO:0030187, GO:0032868, GO:0034097, GO:0034695, GO:0046219, GO:0046688, GO:0051412, GO:0051591, GO:0051592, GO:0071320, GO:1901652","N-terminal protein amino acid acetylation, circadian rhythm, circadian rhythm, circadian rhythm, response to light stimulus, photoperiodism, photoperiodism, response to zinc ion, melatonin biosynthetic process, melatonin biosynthetic process, response to insulin, response to cytokine, response to prostaglandin E, indolalkylamine biosynthetic process, response to copper ion, response to corticosterone, response to cAMP, response to calcium ion, cellular response to cAMP, response to peptide"
AAR2,"GO:0000244, GO:0000387, GO:0045292, GO:0048025","spliceosomal tri-snRNP complex assembly, spliceosomal snRNP assembly, mRNA cis splicing, via spliceosome, negative regulation of mRNA splicing, via spliceosome"
AARD,None Found,None Found
AARS1,"GO:0006400, GO:0006400, GO:0006418, GO:0006419, GO:0006419, GO:0006419, GO:0006419, GO:0006419, GO:0008033, GO:0035332, GO:0043039, GO:0106074, GO:0140018, GO:1901797","tRNA modification, tRNA modification, tRNA aminoacylation for protein translation, alanyl-tRNA aminoacylation, alanyl-tRNA aminoacylation, alanyl-tRNA aminoacylation, alanyl-tRNA aminoacylation, alanyl-tRNA aminoacylation, tRNA processing, positive regulation of hippo signaling, tRNA aminoacylation, aminoacyl-tRNA metabolism involved in translational fidelity, regulation of cytoplasmic translational fidelity, negative regulation of signal transduction by p53 class mediator"
AARS2,"GO:0006419, GO:0043039, GO:0070143, GO:0070143, GO:0106074, GO:0160049, GO:0160049","alanyl-tRNA aminoacylation, tRNA aminoacylation, mitochondrial alanyl-tRNA aminoacylation, mitochondrial alanyl-tRNA aminoacylation, aminoacyl-tRNA metabolism involved in translational fidelity, negative regulation of cGAS/STING signaling pathway, negative regulation of cGAS/STING signaling pathway"
AARSD1,"GO:0006419, GO:0006450, GO:0008150, GO:0043039, GO:0106074","alanyl-tRNA aminoacylation, regulation of translational fidelity, biological_process, tRNA aminoacylation, aminoacyl-tRNA metabolism involved in translational fidelity"
AASDH,GO:0006631,fatty acid metabolic process
AASDHPPT,"GO:0009258, GO:0015939, GO:0051604, GO:0051604","10-formyltetrahydrofolate catabolic process, pantothenate metabolic process, protein maturation, protein maturation"
AASS,"GO:0000122, GO:0019477, GO:0019477","negative regulation of transcription by RNA polymerase II, L-lysine catabolic process, L-lysine catabolic process"
AATF,"GO:0000462, GO:0030490, GO:0030968, GO:0042274, GO:0045893","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA), maturation of SSU-rRNA, endoplasmic reticulum unfolded protein response, ribosomal small subunit biogenesis, positive regulation of DNA-templated transcription"
AATK,None Found,None Found
ABAT,"GO:0001666, GO:0006540, GO:0006540, GO:0007620, GO:0007626, GO:0009410, GO:0009450, GO:0010039, GO:0014053, GO:0021549, GO:0031652, GO:0032024, GO:0033602, GO:0035094, GO:0035640, GO:0042220, GO:0045471, GO:0045776, GO:0045964, GO:0050877, GO:0050877, GO:0070474, GO:0097151, GO:1902722, GO:1904450","response to hypoxia, GABA shunt, GABA shunt, copulation, locomotory behavior, response to xenobiotic stimulus, GABA catabolic process, response to iron ion, negative regulation of gamma-aminobutyric acid secretion, cerebellum development, positive regulation of heat generation, positive regulation of insulin secretion, negative regulation of dopamine secretion, response to nicotine, exploration behavior, response to cocaine, response to ethanol, negative regulation of blood pressure, positive regulation of dopamine metabolic process, nervous system process, nervous system process, positive regulation of uterine smooth muscle contraction, positive regulation of inhibitory postsynaptic potential, positive regulation of prolactin secretion, positive regulation of aspartate secretion"
ABCA1,"GO:0007040, GO:0007186, GO:0007189, GO:0007584, GO:0008203, GO:0009306, GO:0009306, GO:0009306, GO:0009410, GO:0010745, GO:0010875, GO:0010887, GO:0015850, GO:0015914, GO:0016197, GO:0023061, GO:0023061, GO:0023061, GO:0030301, GO:0031667, GO:0032367, GO:0032489, GO:0033344, GO:0033344, GO:0033344, GO:0033552, GO:0033700, GO:0033700, GO:0033700, GO:0033700, GO:0034380, GO:0034616, GO:0038027, GO:0042158, GO:0042632, GO:0042632, GO:0043691, GO:0043691, GO:0045332, GO:0045332, GO:0055085, GO:0055091, GO:0060155, GO:0071222, GO:0071300, GO:0071345, GO:0071397, GO:0071404, GO:0071466, GO:0071806, GO:0071806, GO:0090107, GO:0090108, GO:0090108, GO:0099039, GO:0140115, GO:0140115","lysosome organization, G protein-coupled receptor signaling pathway, adenylate cyclase-activating G protein-coupled receptor signaling pathway, response to nutrient, cholesterol metabolic process, protein secretion, protein secretion, protein secretion, response to xenobiotic stimulus, negative regulation of macrophage derived foam cell differentiation, positive regulation of cholesterol efflux, negative regulation of cholesterol storage, organic hydroxy compound transport, phospholipid transport, endosomal transport, signal release, signal release, signal release, cholesterol transport, response to nutrient levels, intracellular cholesterol transport, regulation of Cdc42 protein signal transduction, cholesterol efflux, cholesterol efflux, cholesterol efflux, response to vitamin B3, phospholipid efflux, phospholipid efflux, phospholipid efflux, phospholipid efflux, high-density lipoprotein particle assembly, response to laminar fluid shear stress, apolipoprotein A-I-mediated signaling pathway, lipoprotein biosynthetic process, cholesterol homeostasis, cholesterol homeostasis, reverse cholesterol transport, reverse cholesterol transport, phospholipid translocation, phospholipid translocation, transmembrane transport, phospholipid homeostasis, platelet dense granule organization, cellular response to lipopolysaccharide, cellular response to retinoic acid, cellular response to cytokine stimulus, cellular response to cholesterol, cellular response to low-density lipoprotein particle stimulus, cellular response to xenobiotic stimulus, protein transmembrane transport, protein transmembrane transport, regulation of high-density lipoprotein particle assembly, positive regulation of high-density lipoprotein particle assembly, positive regulation of high-density lipoprotein particle assembly, sphingolipid translocation, export across plasma membrane, export across plasma membrane"
ABCA10,"GO:0006869, GO:0006869, GO:0055085","lipid transport, lipid transport, transmembrane transport"
