Gene Name,GO ID,Biological Function
TP53,GO:0000122,negative regulation of transcription by RNA polymerase II
TP53,GO:0000122,negative regulation of transcription by RNA polymerase II
TP53,GO:0002244,hematopoietic progenitor cell differentiation
TP53,GO:0006289,nucleotide-excision repair
TP53,GO:0006355,regulation of DNA-templated transcription
TP53,GO:0006355,regulation of DNA-templated transcription
TP53,GO:0006355,regulation of DNA-templated transcription
TP53,GO:0006357,regulation of transcription by RNA polymerase II
TP53,GO:0006914,autophagy
TP53,GO:0006915,apoptotic process
TP53,GO:0006974,DNA damage response
TP53,GO:0006974,DNA damage response
TP53,GO:0006974,DNA damage response
TP53,GO:0006983,ER overload response
TP53,GO:0007265,Ras protein signal transduction
TP53,GO:0007623,circadian rhythm
TP53,GO:0008104,intracellular protein localization
TP53,GO:0008285,negative regulation of cell population proliferation
TP53,GO:0008285,negative regulation of cell population proliferation
TP53,GO:0008285,negative regulation of cell population proliferation
TP53,GO:0008285,negative regulation of cell population proliferation
TP53,GO:0008285,negative regulation of cell population proliferation
TP53,GO:0008340,determination of adult lifespan
TP53,GO:0008340,determination of adult lifespan
TP53,GO:0009299,mRNA transcription
TP53,GO:0009416,response to light stimulus
TP53,GO:0010212,response to ionizing radiation
TP53,GO:0010332,response to gamma radiation
TP53,GO:0010628,positive regulation of gene expression
TP53,GO:0010628,positive regulation of gene expression
TP53,GO:0010628,positive regulation of gene expression
TP53,GO:0016032,viral process
TP53,GO:0030308,negative regulation of cell growth
TP53,GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
TP53,GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
TP53,GO:0031571,mitotic G1 DNA damage checkpoint signaling
TP53,GO:0032211,negative regulation of telomere maintenance via telomerase
TP53,GO:0033209,tumor necrosis factor-mediated signaling pathway
TP53,GO:0034644,cellular response to UV
TP53,GO:0042149,cellular response to glucose starvation
TP53,GO:0042149,cellular response to glucose starvation
TP53,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
TP53,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
TP53,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
TP53,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
TP53,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
TP53,GO:0042981,regulation of apoptotic process
TP53,GO:0042981,regulation of apoptotic process
TP53,GO:0043065,positive regulation of apoptotic process
TP53,GO:0043066,negative regulation of apoptotic process
TP53,GO:0043066,negative regulation of apoptotic process
TP53,GO:0043066,negative regulation of apoptotic process
TP53,GO:0043153,entrainment of circadian clock by photoperiod
TP53,GO:0043153,entrainment of circadian clock by photoperiod
TP53,GO:0045815,transcription initiation-coupled chromatin remodeling
TP53,GO:0045892,negative regulation of DNA-templated transcription
TP53,GO:0045892,negative regulation of DNA-templated transcription
TP53,GO:0045892,negative regulation of DNA-templated transcription
TP53,GO:0045892,negative regulation of DNA-templated transcription
TP53,GO:0045893,positive regulation of DNA-templated transcription
TP53,GO:0045893,positive regulation of DNA-templated transcription
TP53,GO:0045893,positive regulation of DNA-templated transcription
TP53,GO:0045899,positive regulation of RNA polymerase II transcription preinitiation complex assembly
TP53,GO:0045944,positive regulation of transcription by RNA polymerase II
TP53,GO:0045944,positive regulation of transcription by RNA polymerase II
TP53,GO:0045944,positive regulation of transcription by RNA polymerase II
TP53,GO:0045944,positive regulation of transcription by RNA polymerase II
TP53,GO:0045944,positive regulation of transcription by RNA polymerase II
TP53,GO:0045944,positive regulation of transcription by RNA polymerase II
TP53,GO:0046677,response to antibiotic
TP53,GO:0048147,negative regulation of fibroblast proliferation
TP53,GO:0048512,circadian behavior
TP53,GO:0048512,circadian behavior
TP53,GO:0048539,bone marrow development
TP53,GO:0051097,negative regulation of helicase activity
TP53,GO:0051262,protein tetramerization
TP53,GO:0051726,regulation of cell cycle
TP53,GO:0051726,regulation of cell cycle
TP53,GO:0051726,regulation of cell cycle
TP53,GO:0051726,regulation of cell cycle
TP53,GO:0060218,hematopoietic stem cell differentiation
TP53,GO:0060333,type II interferon-mediated signaling pathway
TP53,GO:0062100,positive regulation of programmed necrotic cell death
TP53,GO:0065003,protein-containing complex assembly
TP53,GO:0070059,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress
TP53,GO:0070245,positive regulation of thymocyte apoptotic process
TP53,GO:0070245,positive regulation of thymocyte apoptotic process
TP53,GO:0071456,cellular response to hypoxia
TP53,GO:0071466,cellular response to xenobiotic stimulus
TP53,GO:0071479,cellular response to ionizing radiation
TP53,GO:0071479,cellular response to ionizing radiation
TP53,GO:0071480,cellular response to gamma radiation
TP53,GO:0072331,signal transduction by p53 class mediator
TP53,GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator
TP53,GO:0072717,cellular response to actinomycin D
TP53,GO:0090200,positive regulation of release of cytochrome c from mitochondria
TP53,GO:0090398,cellular senescence
TP53,GO:0090399,replicative senescence
TP53,GO:0090403,oxidative stress-induced premature senescence
TP53,GO:0097190,apoptotic signaling pathway
TP53,GO:0097193,intrinsic apoptotic signaling pathway
TP53,GO:0097252,oligodendrocyte apoptotic process
TP53,GO:1900119,positive regulation of execution phase of apoptosis
TP53,GO:1902749,regulation of cell cycle G2/M phase transition
TP53,GO:1902895,positive regulation of miRNA transcription
TP53,GO:1902895,positive regulation of miRNA transcription
TP53,GO:1902895,positive regulation of miRNA transcription
TP53,GO:1902895,positive regulation of miRNA transcription
TP53,GO:1903451,negative regulation of G1 to G0 transition
TP53,GO:1903451,negative regulation of G1 to G0 transition
TP53,GO:1905856,negative regulation of pentose-phosphate shunt
TP53,GO:2000379,positive regulation of reactive oxygen species metabolic process
TP53,GO:2000774,positive regulation of cellular senescence
TP53,GO:2000774,positive regulation of cellular senescence
TP53,GO:2000774,positive regulation of cellular senescence
TP53,GO:2001244,positive regulation of intrinsic apoptotic signaling pathway
TP53,GO:2001244,positive regulation of intrinsic apoptotic signaling pathway
BRCA1,GO:0000724,double-strand break repair via homologous recombination
BRCA1,GO:0000724,double-strand break repair via homologous recombination
BRCA1,GO:0006281,DNA repair
BRCA1,GO:0006281,DNA repair
BRCA1,GO:0006282,regulation of DNA repair
BRCA1,GO:0006301,DNA damage tolerance
BRCA1,GO:0006302,double-strand break repair
BRCA1,GO:0006302,double-strand break repair
BRCA1,GO:0006302,double-strand break repair
BRCA1,GO:0006302,double-strand break repair
BRCA1,GO:0006338,chromatin remodeling
BRCA1,GO:0006357,regulation of transcription by RNA polymerase II
BRCA1,GO:0006357,regulation of transcription by RNA polymerase II
BRCA1,GO:0006974,DNA damage response
BRCA1,GO:0006974,DNA damage response
