gene_name	go_id	biological_function
A1BG	GO:0002764	immune response-regulating signaling pathway
A3GALT2	GO:0030258; GO:0070085	glycosylation; lipid modification
A4GALT	GO:0006688	glycosphingolipid biosynthetic process
A4GNT	GO:0006493; GO:0006688	glycosphingolipid biosynthetic process; protein O-linked glycosylation
AAAS	GO:0006913	nucleocytoplasmic transport
AADAT	GO:1901605	alpha-amino acid metabolic process
AAK1	GO:0006468; GO:0048259	protein phosphorylation; regulation of receptor-mediated endocytosis
AAR2	GO:0000387	spliceosomal snRNP assembly
AARS1	GO:0006399; GO:0006412; GO:0006520	amino acid metabolic process; tRNA metabolic process; translation
AARS2	GO:0006399; GO:0006412; GO:0006520	amino acid metabolic process; tRNA metabolic process; translation
AASDHPPT	GO:0009085	lysine biosynthetic process
AATK	GO:0007420; GO:0018108	brain development; peptidyl-tyrosine phosphorylation
ABAT	GO:0006520; GO:0009063; GO:0032787	amino acid catabolic process; amino acid metabolic process; monocarboxylic acid metabolic process
ABCA1	GO:0015914	phospholipid transport
ABCA10	GO:0006869	lipid transport
ABCA12	GO:0006869	lipid transport
ABCA13	GO:0006869	lipid transport
ABCA2	GO:0006869	lipid transport
ABCA3	GO:0006869	lipid transport
ABCA4	GO:0006869	lipid transport
ABCA5	GO:0006869	lipid transport
ABCA6	GO:0006869	lipid transport
ABCA7	GO:0015914; GO:0033344	cholesterol efflux; phospholipid transport
ABCA8	GO:0006869	lipid transport
ABCA9	GO:0006869	lipid transport
ABCB1	GO:0055085	transmembrane transport
ABCB11	GO:0055085	transmembrane transport
ABCB4	GO:0045332; GO:0055085	phospholipid translocation; transmembrane transport
ABCB5	GO:0055085	transmembrane transport
ABCB6	GO:0055085	transmembrane transport
ABCB7	GO:0006879; GO:0055085	intracellular iron ion homeostasis; transmembrane transport
ABCB8	GO:0055085	transmembrane transport
ABCB9	GO:0055085	transmembrane transport
ABCC1	GO:0015711; GO:0035672	oligopeptide transmembrane transport; organic anion transport
ABCC10	GO:0055085	transmembrane transport
